id,url,primaryTitle,originalTitle,type,description,primaryImage,thumbnails,trailer,contentRating,isAdult,releaseDate,startYear,endYear,runtimeMinutes,genres,interests,countriesOfOrigin,externalLinks,spokenLanguages,filmingLocations,productionCompanies,budget,grossWorldwide,averageRating,numVotes,metascore
tt6773088,https://www.imdb.com/title/tt6773088/,Brothers,Brothers,tvSeries,It follows McConaughey and Harrelson as they try to live together on a Texas ranch. That close space puts their friendship to the test.,https://m.media-amazon.com/images/M/MV5BYWVhNzc1ZjktMWY2ZC00OTQ2LTgwNzEtMTk4MDE5Njc3OGFlXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BYWVhNzc1ZjktMWY2ZC00OTQ2LTgwNzEtMTk4MDE5Njc3OGFlXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BYWVhNzc1ZjktMWY2ZC00OTQ2LTgwNzEtMTk4MDE5Njc3OGFlXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BYWVhNzc1ZjktMWY2ZC00OTQ2LTgwNzEtMTk4MDE5Njc3OGFlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,,False,2026-09-23,2026,,,['Comedy'],['Comedy'],['US'],,['en'],"['Austin, Texas, USA']","[{'id': 'co0861654', 'name': 'Apple Studios'}, {'id': 'co0781350', 'name': 'Paramount Television Studios'}, {'id': 'co0562101', 'name': 'Skydance Television'}]",,,,,
tt41059410,https://www.imdb.com/title/tt41059410/,Bear Grylls Is Running Wild,Bear Grylls Is Running Wild,tvSeries,"Bear Grylls guides celebrities through extreme global locations from Norwegian glaciers to Welsh mountains. Adventures include Arctic rainforest, canyonlands, desert terrain, glacier crossings, canyon descents, and an 11,000-foot freefall.",https://m.media-amazon.com/images/M/MV5BMThjOTg3MDgtYzQxYy00ZjI5LWI5NWUtZjgwZWY2ZTQwYTVkXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BMThjOTg3MDgtYzQxYy00ZjI5LWI5NWUtZjgwZWY2ZTQwYTVkXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BMThjOTg3MDgtYzQxYy00ZjI5LWI5NWUtZjgwZWY2ZTQwYTVkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BMThjOTg3MDgtYzQxYy00ZjI5LWI5NWUtZjgwZWY2ZTQwYTVkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,,False,2026-04-21,2026,,,,,,,['en'],,"[{'id': 'co0767763', 'name': 'Propagate Content'}, {'id': 'co0846243', 'name': 'The Natural Studios'}]",,,6.3,73.0,
tt21103218,https://www.imdb.com/title/tt21103218/,The Lost Bus,The Lost Bus,movie,A wayward school bus driver and a dedicated school teacher battle to save 22 children from a terrifying inferno.,https://m.media-amazon.com/images/M/MV5BZTIzNmQzYzUtNTdlNi00NmY5LThmNTYtMGFmZjUxMTgzOGNmXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BZTIzNmQzYzUtNTdlNi00NmY5LThmNTYtMGFmZjUxMTgzOGNmXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BZTIzNmQzYzUtNTdlNi00NmY5LThmNTYtMGFmZjUxMTgzOGNmXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BZTIzNmQzYzUtNTdlNi00NmY5LThmNTYtMGFmZjUxMTgzOGNmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,R,False,2025-10-03,2025,,130.0,"['Biography', 'Drama', 'History']","['Disaster', 'Biography', 'Drama', 'History', 'Thriller']",['US'],,['en'],"['Ruidoso, New Mexico, USA']","[{'id': 'co0822606', 'name': 'Apple Original Films'}, {'id': 'co0098315', 'name': 'Blumhouse Productions'}, {'id': 'co0032319', 'name': 'Comet Pictures'}]",,,6.8,54872.0,64.0
tt27706593,https://www.imdb.com/title/tt27706593/,The Rivals of Amziah King,The Rivals of Amziah King,movie,"Amziah King, beekeeper, musician, and anchor of his community, reunites with former foster daughter Kateri after many years apart, and fends off threats to his honey business.",https://m.media-amazon.com/images/M/MV5BOGVkMTY3OTMtMjEwOC00MGVmLTlmNmItZmZhNDNhYTEzOTQ0XkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BOGVkMTY3OTMtMjEwOC00MGVmLTlmNmItZmZhNDNhYTEzOTQ0XkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BOGVkMTY3OTMtMjEwOC00MGVmLTlmNmItZmZhNDNhYTEzOTQ0XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BOGVkMTY3OTMtMjEwOC00MGVmLTlmNmItZmZhNDNhYTEzOTQ0XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,,False,2025-08-21,2025,,130.0,"['Crime', 'Drama', 'Thriller']","['Caper', 'Contemporary Western', 'Crime', 'Drama', 'Thriller']","['US', 'GB']",,['en'],"['Jasper, Alabama, USA']","[{'id': 'co1031934', 'name': 'Black Bear'}, {'id': 'co0159772', 'name': 'Heyday Films'}]",,,7.9,317.0,65.0
tt31937790,https://www.imdb.com/title/tt31937790/,Superhuman Body: World of Medical Marvels,Superhuman Body: World of Medical Marvels,movie,"Explores the work of scientists and bioengineers who are behind groundbreaking medical innovations, such as CAR T-cell immunotherapy and the inner workings of the human body for treating blood cancers like leukemia.",https://m.media-amazon.com/images/M/MV5BNzM4ZWEyZmUtNjg1YS00MDllLTk0MTUtNWU4ZGY0NjNiMmZkXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BNzM4ZWEyZmUtNjg1YS00MDllLTk0MTUtNWU4ZGY0NjNiMmZkXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BNzM4ZWEyZmUtNjg1YS00MDllLTk0MTUtNWU4ZGY0NjNiMmZkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BNzM4ZWEyZmUtNjg1YS00MDllLTk0MTUtNWU4ZGY0NjNiMmZkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=YaJEpU7fkqA,,False,2024-04-12,2024,,40.0,['Documentary'],['Documentary'],['US'],,['en'],,"[{'id': 'co0053632', 'name': 'MacGillivray Freeman Films'}]",,,6.9,25.0,
tt27590028,https://www.imdb.com/title/tt27590028/,The Oscars,The Oscars,tvSpecial,"The 96th Academy Awards, held on March 10th, 2024 from the Dolby Threatre in Hollywood and hosted by comedian Jimmy Kimmel for the fourth time. The cultural phenomenon of ""Barbenheimer"" in six different categories is a recurring theme.",https://m.media-amazon.com/images/M/MV5BOWQyNDA5NzYtODFlMi00MmQwLTlmYTMtYjI4NmYwYWNmMjYwXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BOWQyNDA5NzYtODFlMi00MmQwLTlmYTMtYjI4NmYwYWNmMjYwXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BOWQyNDA5NzYtODFlMi00MmQwLTlmYTMtYjI4NmYwYWNmMjYwXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BOWQyNDA5NzYtODFlMi00MmQwLTlmYTMtYjI4NmYwYWNmMjYwXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,TV-14,False,2024-03-10,2024,,157.0,"['Comedy', 'Music']","['Comedy', 'Music', 'Reality TV']",,,"['en', 'es']","['Dolby Theatre, Hollywood, California, USA']","[{'id': 'co0104239', 'name': 'Done and Dusted Productions'}, {'id': 'co0772531', 'name': 'Raj Kapoor Productions'}, {'id': 'co0050231', 'name': 'Academy of Motion Picture Arts and Sciences (AMPAS)'}]",,,6.7,1634.0,
tt29580199,https://www.imdb.com/title/tt29580199/,Unsolved Mysteries: Behind the Legacy,Unsolved Mysteries: Behind the Legacy,movie,"A tribute to the iconic series that shaped future generations of true crime TV, featuring interviews with the creators and exclusive behind-the-scenes footage.",https://m.media-amazon.com/images/M/MV5BYWFkYTdkNmMtNGJlMS00ZWY1LWFmY2MtMjQxYTU1Y2FjZThiXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BYWFkYTdkNmMtNGJlMS00ZWY1LWFmY2MtMjQxYTU1Y2FjZThiXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BYWFkYTdkNmMtNGJlMS00ZWY1LWFmY2MtMjQxYTU1Y2FjZThiXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BYWFkYTdkNmMtNGJlMS00ZWY1LWFmY2MtMjQxYTU1Y2FjZThiXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,,False,2023-10-05,2023,,55.0,['Reality-TV'],['Reality TV'],['US'],"['https://filmrise.com/film/unsolved-mysteries-behind-the-legacy', 'https://unsolved.com/behind-the-legacy/']",['en'],,[],,,7.4,114.0,
tt23219702,https://www.imdb.com/title/tt23219702/,2023 CMT Music Awards,2023 CMT Music Awards,tvSpecial,"The 2023 CMT MUSIC AWARDS, country music's only fan-voted awards show",https://m.media-amazon.com/images/M/MV5BN2UyZDY3MDctMDRmMi00ZGI4LThkM2UtY2YzMTRmNTZjMDVkXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BN2UyZDY3MDctMDRmMi00ZGI4LThkM2UtY2YzMTRmNTZjMDVkXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BN2UyZDY3MDctMDRmMi00ZGI4LThkM2UtY2YzMTRmNTZjMDVkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BN2UyZDY3MDctMDRmMi00ZGI4LThkM2UtY2YzMTRmNTZjMDVkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,TV-PG,False,2023-04-02,2023,,132.0,['Music'],['Music'],['US'],,['en'],"['Moody Center, Austin, Texas, USA']","[{'id': 'co0744878', 'name': 'Switched on Entertainment'}, {'id': 'co0084871', 'name': 'CMT'}, {'id': 'co0321734', 'name': '4Wall Entertainment'}]",,,5.9,64.0,
tt10814036,https://www.imdb.com/title/tt10814036/,Agent Elvis,Agent Elvis,tvSeries,Elvis trades in his jumpsuit for a jetpack when he joins a secret government spy program to help battle the dark forces that threaten the country.,https://m.media-amazon.com/images/M/MV5BYzEyYWM4ZjYtMDQxOC00Mjg0LTg2MDYtYmI5Zjk5ZjNiNmM1XkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BYzEyYWM4ZjYtMDQxOC00Mjg0LTg2MDYtYmI5Zjk5ZjNiNmM1XkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BYzEyYWM4ZjYtMDQxOC00Mjg0LTg2MDYtYmI5Zjk5ZjNiNmM1XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BYzEyYWM4ZjYtMDQxOC00Mjg0LTg2MDYtYmI5Zjk5ZjNiNmM1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",,TV-MA,False,2023-03-17,2023,2023.0,,"['Action', 'Animation', 'Comedy']","['Adult Animation', 'Action', 'Animation', 'Comedy', 'Crime', 'Thriller']",['US'],['https://www.netflix.com/title/80240585/'],['en'],"['Las Vegas, Nevada, USA']","[{'id': 'co0086397', 'name': 'Sony Pictures Television'}, {'id': 'co0121181', 'name': 'Sony Pictures Animation'}, {'id': 'co0186051', 'name': 'Titmouse'}]",,,6.8,2943.0,
tt18967390,https://www.imdb.com/title/tt18967390/,Deep in the Heart: A Texas Wildlife Story,Deep in the Heart: A Texas Wildlife Story,movie,"A visually stunning celebration of what makes Texas unique, its diverse landscapes and remarkable wildlife behavior that cannot be found anywhere else in the world.",https://m.media-amazon.com/images/M/MV5BODgyN2Y2ZjItMDIyNy00YTZlLWE3MDItMmMzZmM0MmYxYWZkXkEyXkFqcGc@.jpg,"[{'url': 'https://m.media-amazon.com/images/M/MV5BODgyN2Y2ZjItMDIyNy00YTZlLWE3MDItMmMzZmM0MmYxYWZkXkEyXkFqcGc@._V1_QL75_UX100_CR0,0,100,148_.jpg', 'width': 100, 'height': 148}, {'url': 'https://m.media-amazon.com/images/M/MV5BODgyN2Y2ZjItMDIyNy00YTZlLWE3MDItMmMzZmM0MmYxYWZkXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg', 'width': 280, 'height': 414}, {'url': 'https://m.media-amazon.com/images/M/MV5BODgyN2Y2ZjItMDIyNy00YTZlLWE3MDItMmMzZmM0MmYxYWZkXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg', 'width': 380, 'height': 562}]",https://www.youtube.com/watch?v=GNZ71xjAE0U,PG,False,2022-06-03,2022,,101.0,['Documentary'],"['Nature Documentary', 'Documentary']",['US'],['https://www.deepintheheartwildlife.com/'],['en'],"['Texas, USA']","[{'id': 'co0797683', 'name': 'Fin & Fur Films'}]",,480240.0,7.6,284.0,
